,STNAME,CTYNAME,POP2020,POP2015,POP2010,POPGROWTH,WORK2020,WORK2015,WORK2010,WORKGROWTH,TYPE,DISTRESSED
659,Illinois,Mercer County,15225,15748.0,16410.0,-7.221206581352835,9209.0,9742.0,10336.0,-10.903637770897834,R,A
660,Illinois,Monroe County,34739,33811.0,33051.0,5.107258479319832,21806.0,22121.0,21755.0,0.23442886692714993,R,N
661,Illinois,Montgomery County,28045,29196.0,30095.0,-6.811762751287587,17485.0,18779.0,19716.0,-11.315682694258467,R,A
662,Illinois,Morgan County,33400,34693.0,35499.0,-5.912842615284941,21398.0,22556.0,23434.0,-8.688230775795859,R,A
663,Illinois,Moultrie County,14347,14747.0,14863.0,-3.4717082688555445,8632.0,9013.0,9186.0,-6.030916612236014,R,A
664,Illinois,Ogle County,50306,51572.0,53420.0,-5.8292774241856975,31332.0,32998.0,34663.0,-9.609670253584513,R,A
665,Illinois,Peoria County,177652,186552.0,186224.0,-4.603058682017358,110201.0,120230.0,123127.0,-10.498103584104213,S,A
666,Illinois,Perry County,20664,21522.0,22316.0,-7.402760351317439,13388.0,14313.0,15021.0,-10.871446641368754,R,A
667,Illinois,Piatt County,16355,16356.0,16710.0,-2.1244763614602036,10075.0,10357.0,10774.0,-6.487841098941893,R,A
668,Illinois,Pike County,15239,15794.0,16395.0,-7.05093016163465,9013.0,9699.0,10228.0,-11.879155260070394,R,A
669,Illinois,Pope County,4142,4302.0,4477.0,-7.482689300871115,2599.0,2739.0,2858.0,-9.062281315605315,R,A
670,Illinois,Pulaski County,5201,5662.0,6131.0,-15.168814222802151,3105.0,3473.0,3867.0,-19.705197827773468,R,A
671,Illinois,Putnam County,5716,5729.0,6014.0,-4.955104755570339,3442.0,3580.0,3898.0,-11.698306824012317,R,A
672,Illinois,Randolph County,31351,32754.0,33410.0,-6.162825501346902,20312.0,21793.0,22636.0,-10.266831595688286,R,A
673,Illinois,Richland County,15507,15952.0,16193.0,-4.236398443772005,9307.0,9815.0,10113.0,-7.969939681597948,R,A
674,Illinois,Rock Island County,140907,146161.0,147613.0,-4.542960308373923,86232.0,92645.0,96055.0,-10.226432772890536,S,A
675,Illinois,St. Clair County,258046,265008.0,270368.0,-4.557492010888864,164715.0,174837.0,180323.0,-8.655579155182647,S,A
676,Illinois,Saline County,23182,24495.0,24900.0,-6.899598393574302,14363.0,15451.0,15762.0,-8.875777185636336,R,A
677,Illinois,Sangamon County,193882,198973.0,197769.0,-1.965424308157493,122242.0,129582.0,131698.0,-7.180063478564591,S,A
678,Illinois,Schuyler County,6738,7150.0,7534.0,-10.565436687018847,4159.0,4544.0,4848.0,-14.212046204620465,R,A
